Period,IRF,Lower Conf,Upper Conf,Shock Variable,Response Variable
8,0.052403361254334035,-0.30744774850316664,0.4122544710118347,US IP SA,US CPI SA
9,-0.1824290667587295,-0.5436242765710313,0.1787661430535723,US IP SA,US CPI SA
10,-0.013593126995386817,-0.367289426721733,0.3401031727309593,US IP SA,US CPI SA
11,0.10180776021396426,-0.2487065522189843,0.4523220726469128,US IP SA,US CPI SA
12,-0.2364392313554004,-0.5781122483819157,0.1052337856711148,US IP SA,US CPI SA
13,0.18844429146532862,-0.13813925279454645,0.5150278357252037,US IP SA,US CPI SA
14,-0.00042669356580659484,-0.31852858332313483,0.3176751961915216,US IP SA,US CPI SA
15,-0.030940959252091907,-0.3235307910989818,0.261648872594798,US IP SA,US CPI SA
16,0.15266838709781197,-0.1344254941963763,0.4397622683920003,US IP SA,US CPI SA
17,-0.024271469537596527,-0.3075835617994336,0.25904062272424055,US IP SA,US CPI SA
18,-0.039064164110224085,-0.3159977535319196,0.23786942531147146,US IP SA,US CPI SA
19,0.03531697306863521,-0.22553996800911272,0.29617391414638317,US IP SA,US CPI SA
20,-0.07279740896051957,-0.3281159989122719,0.18252118099123277,US IP SA,US CPI SA
0,1.0,1.0,1.0,US IP SA,US IP SA
1,0.47584031007919353,0.18418879412064398,0.767491826037743,US IP SA,US IP SA
2,0.3576372658117464,0.012752111874510863,0.7025224197489819,US IP SA,US IP SA
3,0.07800494600713849,-0.2759441992839288,0.4319540912982058,US IP SA,US IP SA
4,-0.257653456200408,-0.5993273392947804,0.08402042689396433,US IP SA,US IP SA
5,-0.275351341965017,-0.6257691365435301,0.07506645261349609,US IP SA,US IP SA
6,-0.24997354793751042,-0.616640607057374,0.11669351118235322,US IP SA,US IP SA
7,-0.3095698002905053,-0.6719878189556303,0.052848218374619726,US IP SA,US IP SA
8,-0.060662292570363596,-0.42053496805930596,0.29921038291857877,US IP SA,US IP SA
9,0.04393249993686619,-0.32809653819975565,0.41596153807348807,US IP SA,US IP SA
10,0.12658215345180318,-0.2511749669562823,0.5043392738598886,US IP SA,US IP SA
11,0.20827208806479255,-0.1699918944506655,0.5865360705802506,US IP SA,US IP SA
12,0.11218592500155436,-0.25251698710218773,0.4768888371052965,US IP SA,US IP SA
13,-0.021133124461930497,-0.36198628419873763,0.31972003527487663,US IP SA,US IP SA
14,-0.04910058823336662,-0.3892360546756596,0.2910348782089264,US IP SA,US IP SA
